theta
[3.480092   6.34936972]
[27.90405203 13.89159287]
[27.93370175 14.62898122]
[28.03566781 15.31925015]
[28.02940641 15.61823312]
[27.90966666 16.02526227]
[27.78878417 16.3958164 ]
[27.53774866 16.60267795]
[27.29600263 16.74534948]
[27.02543676 16.83934231]
[26.85828909 16.85674405]
[26.46009766 16.83230483]
[26.00890969 16.74962114]
[25.57248984 16.57497537]
[25.18000546 16.27203177]
[24.79058917 15.79455743]
[24.39855035 15.27105206]
[24.21787526 15.02501079]
[23.89047017 14.33850137]
[23.58492856 13.68095452]
[23.45237586 12.97684775]
[23.28326364 12.31050193]
[23.13009936 11.65845379]
[23.00877911 11.3704703 ]
[22.75803674 10.96140162]
[22.46102825 10.49383582]
[22.19237389 10.03861314]
[21.82798153  9.64985458]
[21.4996623   9.37358418]
[21.32413832  9.31963476]
[20.95635034  9.28722049]
[20.63137853  9.35912736]
[20.28726673  9.48229209]
[19.93510348  9.62134096]
[19.60823432  9.84712348]
[19.29482249 10.15467783]
[19.1607653  10.29308563]
[18.88056063 10.64653219]
[18.58224796 11.03520889]
[18.28537347 11.37332414]
[18.05321168 11.75697429]
[17.80386723 12.11026966]
[17.67022889 12.26410194]
[17.40435631 12.60240402]
[17.12048081 12.89512959]
[16.76279156 13.1864287 ]
[16.40955272 13.42894744]
[16.0510319 13.6230533]
[15.77140143 13.97147431]
[15.703767   14.15447535]
[15.56953524 14.61534228]
[15.48720935 15.16733894]
[15.42220826 15.74948276]
[15.28164489 16.39351651]
[15.20533413 17.10425447]
[15.12072085 17.50287523]
[15.07056911 18.28556169]
[14.97031168 19.10988139]
[14.81794765 20.1476464 ]
[14.71749088 21.22084175]
[14.58765274 22.37007854]
[14.52873136 22.93435031]
[14.40668737 24.00536702]
[14.31925735 24.98627685]
[14.49426621 25.65083827]
[14.82705414 26.04342289]
[15.19912223 26.39504575]
[15.4094982  26.52538412]
[15.80957956 26.76645268]
[16.17302063 26.98309178]
[16.5505098  27.13856154]
[16.92848138 27.20344547]
[17.50684855 27.17050423]
[18.14703055 27.02774064]
[18.48485755 26.94332379]
[19.06263027 26.808767  ]
[19.59790611 26.65927779]
[20.07284735 26.55657521]
[20.55913813 26.37868808]
[20.97274139 26.30782582]
[21.16747563 26.18280384]
[21.70644266 26.0638472 ]
[22.40806212 25.96687175]
[23.17918344 25.81184413]
[23.92333926 25.77298899]
[24.55486682 25.71745365]
[24.81932785 25.60870048]
[25.36330571 25.47536347]
[25.84566475 25.34375511]
[26.2663525  25.16755164]
[26.65068395 24.90469005]
[27.01826311 24.61264538]
[27.35779875 24.3810239 ]
[27.53220643 24.19816202]
[27.83793965 23.8931443 ]
[28.15678266 23.54331018]
[28.47735369 23.23825541]
[28.78512209 22.99317673]
[28.83413853 23.0126573 ]
[28.83752137 23.05603944]
[28.90869975 23.25827535]
[28.9760832  23.64250711]
[29.07776289 24.0720646 ]
[29.19347653 24.57046656]
[29.20766232 25.09526619]
[29.2191651  25.37811817]
[29.24199692 26.07331957]
[29.30804412 26.93099952]
[29.33810136 28.0106387 ]
[29.43117034 29.1580893 ]
[29.5195039  30.36371501]
[29.58385377 30.96476358]
[29.64798298 32.1189201 ]
[29.63113068 33.16336054]
[29.42444231 33.97879771]
[28.96091292 34.40730529]
[28.29145376 34.60888447]
[27.5065354  34.60919357]
[27.05106538 34.56480353]
[26.27102385 34.3877302 ]
[25.41069679 34.15407617]
[24.62403008 33.88714561]
[23.97517039 33.55833322]
[23.42642766 33.2248725 ]
[23.20266705 33.01036975]
[22.78515556 32.57976095]
[22.33772773 32.17918994]
[21.96327098 31.76974051]
[21.60560398 31.34990939]
[21.20515315 30.90411898]
[21.05639641 30.68511537]
[20.65558856 30.31943284]
[20.25028416 29.91381303]
[19.84650418 29.55240667]
[19.44067789 29.16053742]
[19.04753874 28.72267268]
[18.61019096 28.34546784]
[18.38276291 28.14186456]
[18.04546739 27.73379819]
[17.72947521 27.35387516]
[17.35218979 26.96087694]
[16.99251235 26.62408466]
[16.6316143  26.27177299]
[16.48369872 26.12476729]
[16.15159664 25.77030486]
[15.80836734 25.47706755]
[15.72640404 25.40360278]
[15.76760235 25.54139142]
[15.72192963 25.7846051 ]
[15.69702052 25.97595919]
[15.68780936 26.46689581]
[15.70676716 27.10750194]
[15.73711371 27.81192921]
[15.7443722  28.53755392]
[15.72086833 29.30682486]
[15.68328839 30.10604086]
[15.63739963 30.475596  ]
[15.61471423 31.33283214]
[15.60337895 32.39354033]
[15.59772873 33.50337517]
[15.5928511  34.62677023]
[15.57624223 35.82394778]
[15.55940161 36.40735311]
[15.52804644 37.61774233]
[15.52781039 38.82522497]
[15.48251634 40.06283138]
[15.48154793 41.25221689]
[15.40252285 42.42147428]
[15.40318532 43.04422692]
[15.40450885 44.28842485]
[15.40507795 45.51613986]
[15.49414439 46.61341493]
[15.68761566 47.2636733 ]
[16.27267064 47.7215641 ]
[16.94094197 47.82595591]
[17.35810258 47.78587838]
[18.17244426 47.74106852]
[18.97854083 47.56454457]
[19.73432462 47.33233674]
[20.48663954 47.05666768]
[21.20649127 46.76850327]
[21.51857852 46.59052039]
[22.16702799 46.11641743]
[22.63957647 45.54895394]
[23.08290384 45.12708817]
[23.45686819 44.66857961]
[23.77998566 44.19863896]
[23.89645134 43.97357991]
[24.10301199 43.50940501]
[24.28976044 43.01314665]
[24.46546144 42.53585834]
[24.63919896 42.01466895]
[24.78006026 41.43631266]
[24.89833324 40.90640741]
[24.96219176 40.63939116]
[25.07349473 40.07663452]
[25.26700532 39.65691688]
[25.50776826 39.24175684]
[25.8219636  38.95177229]
[26.1341788  38.66614302]
[26.29517586 38.54163861]
[26.71050115 38.40148727]
[27.11547292 38.34013988]
[27.52444071 38.38127499]
[27.90225262 38.40903091]
[28.26897336 38.46278468]
[28.41429164 38.55193024]
[28.75871757 38.61883969]
[28.98739227 38.69663928]
[29.1838789 38.7670314]
[29.39659339 38.83081127]
[29.42089452 39.04897258]
[29.42711633 39.19481744]
[29.36662098 39.53351025]
[29.27778382 40.05442564]
[29.17904496 40.60580772]
[29.16281435 41.27766866]
[29.20267045 41.9428274 ]
[29.30644788 42.62239197]
[29.3394132  42.94162306]
[29.51666356 43.60137069]
[29.79648202 44.26537845]
[30.12256408 44.85757931]
[30.45922096 45.41984472]
[30.83134505 45.91232448]
[30.97634524 46.17964206]
[31.12156442 46.62440185]
[31.09969752 46.81347384]
[30.88008116 46.89765393]
[30.58304774 46.91378168]
[30.30003851 46.91468181]
[30.11790675 46.83774425]
[29.78126743 46.63878452]
[29.46788897 46.29341033]
[29.26039807 45.90851633]
[28.964451   45.63418843]
[28.7503803  45.52943689]
[28.64516556 45.52049343]
[28.4022227  45.44621386]
[28.13466749 45.15515463]
[27.82251571 44.88063738]
[27.51446041 44.70746599]
[27.13910115 44.61445853]
[26.79548124 44.54957464]
[26.58441784 44.54580375]
[26.1902366  44.59077757]
[25.74027819 44.65770828]
[25.35350728 44.68961199]
[25.0089429 44.7655967]
[24.6841251  44.93192228]
[24.53630819 45.01256202]
[24.2839278  45.12782756]
[23.9501054  44.99514802]
[23.62933254 44.82839737]
[23.25267477 44.56965072]
[22.87755678 44.35441002]
[22.55732475 44.01882625]
[22.42611402 43.82009145]
[22.06798382 43.33889876]
[21.80540995 42.82582062]
[21.51610859 42.20706757]
[21.31329979 41.56493533]
[21.09115401 40.96397657]
[21.00424594 40.66406429]
[20.88099679 40.07650539]
[20.66894044 39.54881007]
[20.14952322 39.16440427]
[19.46284167 38.83966172]
[18.93244994 38.56913483]
[18.36148053 38.43557988]
[18.09475971 38.3579483 ]
[17.64233934 38.28826205]
[17.19516885 38.33734448]
[16.82936059 38.47230522]
[16.46472006 38.6371111 ]
[16.15572261 38.78118822]
[15.97335866 38.8633809 ]
[15.72279715 39.16909574]
[15.52906018 39.4149856 ]
[15.23311655 39.79996935]
[14.83515302 40.26492264]
[14.53610055 40.7484137 ]
[14.39303372 40.96858156]
[14.14090098 41.43490022]
[13.89915232 41.7909057 ]
[13.66780277 42.22018757]
[13.40336087 42.54367081]
[13.04612468 42.77877797]
[12.6675179  42.94556526]
[12.51978396 43.01050981]
[12.07107001 43.09796567]
[11.78244761 43.15832261]
[11.4684322  43.15865496]
[11.16581088 43.08386377]
[10.8918835  42.96284901]
[10.64588829 42.78066635]
[10.55371285 42.50412791]
[10.75080272 41.77814586]
[11.08566098 40.93359601]
[11.29505084 40.14606202]
[11.46496528 39.35619673]
[11.6261892  38.54011572]
[11.67867583 38.13820665]
[11.68038419 37.43474579]
[11.53990483 36.87028801]
[11.33313563 36.24778725]
[11.12772445 35.6545285 ]
[10.86225802 35.12304577]
[10.56488726 34.59205248]
[10.37852426 34.33964431]
[10.05316642 33.5969618 ]
[ 9.66903592 32.65846426]
[ 9.28915401 31.71706227]
[ 8.98885442 30.87801837]
[ 8.78343566 30.03459136]
[ 8.66471031 29.6129052 ]
[ 8.50993123 28.82697566]
[ 8.56869114 28.15576692]
[ 8.67692344 27.51327171]
[ 8.88155821 26.88316421]
[ 9.19844312 26.26528497]
[ 9.45265288 25.68418802]
[ 9.65711973 25.43832772]
[10.00111844 24.83741807]
[10.31807897 24.24310257]
[10.64501052 23.53403557]
[10.90843776 22.82638986]
[11.01731952 22.19823534]
[11.00759612 21.81957063]
[10.97626308 21.22460142]
[10.89518183 20.58435071]
[10.7653544  19.97370595]
[10.62227487 19.37924798]
[10.38518147 18.81637692]
[10.22711706 18.54298153]
[ 9.92577352 17.98002628]
[ 9.57797443 17.13249896]
[ 9.21956548 16.1216513 ]
[ 8.82588226 15.06286485]
[ 8.40940736 13.89381501]
[ 8.18054532 12.93710397]
[ 8.1086907  12.50427137]
[ 8.13325949 11.77604565]
[ 8.22385599 11.07789294]
[ 8.38050348 10.41005125]
[8.57187698 9.78840505]
[8.81401542 9.2130346 ]
[8.92579258 8.90209274]
[9.21528302 8.31105639]
[9.56288267 7.90637569]
[9.97741713 7.73606338]
[10.41096389  7.75064571]
[10.87270005  7.70309608]
[11.27409547  7.73325238]
[11.48015393  7.70180385]
[11.89522479  7.70092087]
[12.29309439  7.68458966]
[12.66032648  7.69929327]
[13.00856856  7.71332664]
[13.34047621  7.68185371]
[13.63679104  7.57318276]
[13.77970924  7.57294851]
[14.04399317  7.4644174 ]
[14.24626759  7.38691458]
[14.41753337  7.32492483]
[14.55704074  7.26299792]
[14.60771349  7.32467498]
[14.80639551  7.49413169]
[14.90841502  7.63279275]
[15.19218565  7.92518586]
[15.43599486  8.37137722]
[15.70801473  8.75542119]
[15.88893171  9.21625032]
[16.0846666   9.66119583]
[16.26598419 10.13647241]
[16.34121165 10.38168835]
[16.56489723 10.76398629]
[16.84971627 11.11485797]
[17.06196961 11.48433314]
[17.43974335 11.81855815]
[17.97067623 12.08995077]
[18.29058586 12.22503863]
[19.0209513  12.44825492]
[19.637667   12.61094234]
[20.20511021 12.74327994]
[20.69185567 12.83161866]
[21.17846774 12.93377897]
[21.61645679 13.00582326]
[21.84967804 13.01887246]
[22.32974227 13.0144278 ]
[22.7305039  12.98034522]
[23.11610422 12.96161209]
[23.59318275 12.92688522]
[24.13197363 12.90679243]
[24.48227018 12.88624014]
[25.24974373 12.84925963]
[26.07566228 12.78160966]
[26.94895487 12.78915615]
[27.74197517 12.75213022]
[28.48574343 12.67039764]
[29.24391954 12.60373826]
[29.66924662 12.60014835]
[30.53420686 12.60787178]
[31.414604  12.6456675]
[32.33642522 12.67986529]
[33.24073197 12.68679193]
[33.97829405 12.71013724]
[34.62137875 12.7265386 ]
[34.88621244 12.72862591]
[35.35318545 12.71230732]
[35.83054238 12.69310846]
[36.30346164 12.70940034]
[36.79856833 12.72091692]
[37.26548009 12.69827293]
[37.74137732 12.6511611 ]
[37.96405369 12.64920798]
[38.42199621 12.59479836]
[38.84752439 12.46531242]
[39.24391902 12.37285136]
[39.66894986 12.26539781]
[40.06633379 12.16861681]
[40.50246633 12.01710129]
[40.70426031 11.98168265]
[41.13266588 11.85656119]
[41.54152749 11.76442734]
[41.90719102 11.62151247]
[42.29048271 11.559946  ]
[42.64528568 11.4187068 ]
[43.05327362 11.34180016]
[43.21390904 11.3258718 ]
[43.65821311 11.21064431]
[44.08014065 11.14861254]
[44.48511779 11.02763263]
[44.91978732 10.93612854]
[45.48544203 10.85865675]
[45.82046065 10.87128464]
[46.56677745 10.85876623]
[47.33454969 10.84744872]
[48.13361509 10.81168661]
[48.96688413 10.84459591]
[49.79528633 10.88672877]
[50.68711974 10.91264488]
[51.11761602 10.92440383]
[51.95148752 10.93398529]
[52.6530776  10.98756477]
[53.29628966 11.04144525]
[53.80954814 11.06696571]
[53.82501149 11.09836025]
[53.75351797 11.08424365]
[53.61088136 11.07058339]
[53.48241807 11.05682584]
[53.28271267 11.04352007]
[53.09593596 10.98633492]
[52.85202119 10.92947296]
[52.38282355 10.99085375]
[52.0416718  11.05148522]
[51.3304059  11.20729195]
[50.68885007 11.34378674]
[50.0733474  11.42166862]
[49.52757661 11.4551328 ]
[49.0077078  11.41505419]
[48.76212829 11.40222445]
[48.32469147 11.33269923]
[47.91175426 11.1981973 ]
[47.47225721 11.04361956]
[47.11823658 10.83989516]
[46.71582785 10.62029429]
[46.23941016 10.45703751]
[45.90192892 10.35563081]
[45.25833105 10.2557895 ]
[44.45199184 10.12702168]
[43.73638159 10.14561739]
[43.21625189 10.35588397]
[42.76310259 10.62237623]
[42.60761891 10.80106359]
[42.40227089 11.2467019 ]
[42.27229204 11.75101453]
[42.144325   12.31438274]
[42.07065777 12.83266523]
[42.00070078 13.38064834]
[42.00365396 13.91282029]
[42.05842776 14.23727712]
[42.29145759 15.075997  ]
[42.6152966  16.01526751]
[42.83477716 16.91011763]
[42.79795875 17.57245258]
[42.75875996 18.16093317]
[42.59839682 18.61900783]
[42.45614617 18.73896302]
[42.18079557 18.87313573]
[41.80634443 18.87701378]
[41.5100518  18.77924537]
[41.25645559 18.65125986]
[41.01680993 18.50822251]
[40.84983204 18.28581502]
[40.78503567 18.11026474]
[40.61078622 17.74493019]
[40.4181093  17.27637833]
[40.28511345 16.83598564]
[40.27652899 16.29931497]
[40.18528677 15.7979205 ]
[40.16536714 15.65028391]
[40.02863146 15.53369128]
[39.79438407 15.58107859]
[39.57212269 15.55431693]
[39.38187541 15.60117155]
[39.26642147 15.67670154]
[39.03040738 16.00424092]
[38.90429435 16.19822899]
[38.55314692 16.66126263]
[38.23124317 17.16877693]
[37.86304238 17.70526164]
[37.5409286  18.21331336]
[37.24616825 18.66190047]
[36.96340177 19.03646962]
[36.86729647 19.24518618]
[36.63819877 19.64021442]
[36.35927838 19.93752312]
[36.16725223 20.31718318]
[35.93898912 20.65584603]
[35.70387635 20.97512675]
[35.49056454 21.2308174 ]
[35.40875883 21.4247292 ]
[35.3023501  21.75221975]
[35.14046123 22.18433894]
[35.02435688 22.64497935]
[34.84934072 23.12163936]
[34.61422546 23.58491122]
[34.53474007 23.83781445]
[34.35064752 24.46226128]
[34.18380558 25.14515353]
[33.95646703 25.90023661]
[33.80878056 26.74876975]
[33.72286125 27.5755453 ]
[33.65258282 28.36685637]
[33.6093386  28.77976398]
[33.59110992 29.55732273]
[33.5931577  30.36431051]
[33.65527499 31.13737701]
[33.74735082 31.93974499]
[33.90757433 32.71326077]
[34.05571047 33.45324217]
[34.16431105 33.84241298]
[34.31175834 34.56706323]
[34.50224986 35.25996026]
[34.66178538 35.92405221]
[34.87333288 36.41056105]
[35.06931575 36.88261247]
[35.11119331 37.13925461]
[35.26343894 37.64117667]
[35.36079314 38.16244589]
[35.48599017 38.69185266]
[35.7728521  39.25851782]
[36.13274961 39.82103784]
[36.53984699 40.48152286]
[36.74337865 40.81850382]
[37.0918606  41.50868651]
[37.43336105 42.02523245]
[37.79879173 42.41035352]
[38.158323   42.70462246]
[38.44156251 42.86292318]
[38.73800933 42.99169819]
[38.86839166 42.97084575]
[39.14514493 42.97138466]
[39.38962115 42.95529687]
[39.63465641 42.88574465]
[39.82807297 42.81346933]
[39.98726243 42.79124091]
[40.06050386 42.75863697]
[40.24936914 42.77940911]
[40.36636047 42.80222374]
[40.42602733 42.83026234]
[40.5336917 42.8459612]
[40.63961549 42.96951092]
[40.74516907 43.06305327]
[40.86257941 43.12909682]
[41.05135857 43.28900018]
[41.23195683 43.48017301]
[41.44081399 43.65547605]
[41.62213899 43.87489509]
[41.79530346 44.11809786]
[41.88423281 44.34010574]
[41.9354514  44.56569616]
[42.21244037 45.0722789 ]
[42.57736841 45.60836099]
[43.12782177 46.11919508]
[43.67335453 46.57124332]
[44.14136817 46.84329992]
[44.53023802 46.90674033]
[44.71597824 46.89640242]
[45.08809208 46.90401424]
[45.45845341 46.86923222]
[45.8435883 46.8619357]
[46.1255893  46.76137804]
[46.16021983 46.50486111]
[46.19709415 46.31891433]
[46.1979051  45.89431086]
[46.21161153 45.42631505]
[46.16746137 44.93281068]
[46.31115275 44.51417494]
[46.52782378 44.14842368]
[46.84626306 43.84837331]
[47.01384928 43.74050013]
[47.37726571 43.52340836]
[47.75719952 43.39062303]
[48.16729409 43.32719849]
[48.59153615 43.27724905]
[48.98995807 43.32764386]
[49.21789679 43.3725456 ]
[49.56460166 43.46132342]
[49.87053135 43.58189755]
[50.21358618 43.71952091]
[50.54015203 43.78734087]
[50.5614592  43.54657755]
[50.51030034 43.23891253]
[50.53363304 43.06844319]
[50.59197876 42.64216776]
[50.59759461 42.34543176]
[50.44850506 42.07031564]
[50.17390554 41.85764972]
[49.81311148 41.77415311]
[49.64187586 41.72593532]
[49.20176587 41.69081461]
[48.76450497 41.76884094]
[48.41270444 41.87109518]
[48.08681965 41.90125058]
[47.64391559 41.83783122]
[47.01583115 41.79754131]
[46.63122271 41.81631954]
[45.93645949 41.86259313]
[45.34325945 41.67768198]
[44.82937238 41.31740052]
[44.38632961 40.95306729]
[44.09545921 40.42376849]
[43.92829974 40.15983431]
[43.69341817 39.59820157]
[43.58501567 38.94422809]
[43.50676692 38.33127886]
[43.51160032 37.61375795]
[43.55922664 36.87951964]
[43.65569362 36.056039  ]
[43.65065123 35.6117299 ]
[43.65103268 34.74841868]
[43.59934827 34.05912305]
[43.41535956 33.46149567]
[43.15306906 32.9805452 ]
[42.90967259 32.61449883]
[42.71846047 32.53473047]
[42.3125304 32.5494009]
[42.00064455 32.77762477]
[41.75488245 33.15404504]
[41.60845977 33.54981591]
[41.5787455  33.95562372]
[41.66447724 34.3993138 ]
[41.77410577 34.62613491]
[41.95361393 35.25969443]
[42.16059226 35.92510264]
[42.21191583 36.41966292]
[42.25899753 36.94983886]
[42.22118031 37.42926359]
[42.06248145 37.5873012 ]
[41.9591343  37.53413891]
[41.72442032 37.29786124]
[41.5204024  36.84580915]
[41.50178665 36.29921528]
[41.54237729 35.76009016]
[41.55736634 35.14034026]
[41.60487585 34.83536942]
[41.75747718 34.2085909 ]
[41.98203954 33.54934889]
[42.22115279 32.94296262]
[42.226882   32.48086273]
[42.15579923 32.10750859]
[41.97101812 31.81023302]
[41.87882061 31.66872798]
[41.65274896 31.44235768]
[41.33940343 31.22117651]
[40.99858315 31.05870765]
[40.66696529 31.17155859]
[40.42797143 31.32824217]
[40.27417012 31.46118745]
[39.83932209 31.73157739]
[39.27956221 32.02276578]
[38.6004572  32.34039054]
[37.9667433  32.30005409]
[37.52225026 32.05478088]
[37.11610403 31.66792223]
[36.97039537 31.44920804]
[36.79428281 30.90167968]
[36.74302596 30.3192857 ]
[36.84257397 29.75508072]
[37.07244949 29.19242765]
[37.42179363 28.67002766]
[37.85915153 28.15034511]
[38.0788183  27.90179331]
[38.52036534 27.28577606]
[38.92796668 26.668897  ]
[39.21086919 26.1001438 ]
[39.40969254 25.66306102]
[39.54181046 25.143503  ]
[39.56122739 24.86479479]
[39.69597777 24.31326428]
[39.66029125 23.72798439]
[39.57381768 23.17751597]
[39.40934315 22.69682334]
[39.15693225 22.2322458 ]
[38.74157918 21.75579889]
[38.54182889 21.53919306]
[38.15445937 21.04628076]
[37.81267922 20.46877887]
[37.47289888 19.80217854]
[37.37678217 19.26542455]
[37.32415358 18.64492104]
[37.37906489 18.12582047]
[37.42266454 17.90772466]
[37.67779855 17.5767945 ]
[37.95804976 17.32045851]
[38.29826405 17.19889511]
[38.69604547 17.25045324]
[39.05577829 17.43991182]
[39.21637667 17.51380165]
[39.46284479 17.80442763]
[39.60795329 18.15634304]
[39.75768367 18.52656171]
[39.84298829 18.84148161]
[40.03977329 19.08615547]
[40.29191925 19.33754677]
[40.42319691 19.42125156]
[40.69346015 19.40749035]
[41.0091336  19.19605302]
[41.27610168 18.85328731]
[41.4667001  18.42369072]
[41.58453158 18.00998358]
[41.61939558 17.61296313]
[41.597691   17.40723854]
[41.55174192 16.92200567]
[41.59325449 16.42050454]
[41.72760105 16.01080444]
[41.93641852 15.68369282]
[42.16185257 15.41542281]
[42.49021428 15.16072955]
[42.69264408 15.08457236]
[43.1334023  15.00164379]
[43.55794473 15.02610047]
[44.01663607 15.12966489]
[44.47304372 15.27131863]
[44.82700823 15.41401153]
[45.04637066 15.54531212]
[45.34833845 15.75673841]
[45.65198565 15.96209516]
[45.91986529 16.17842539]
[46.21094892 16.21842101]
[46.50292156 16.17850845]
[46.80791226 16.06306806]
[46.92459723 15.99514287]
[47.21163139 15.77054325]
[47.4334531  15.46027595]
[47.66833158 15.10600844]
[47.81611182 14.73820642]
[47.84451876 14.26461817]
[47.83845052 13.70895641]
[47.809165   13.48492866]
[47.89180638 12.99969296]
[48.08281752 12.63100871]
[48.3974225  12.40941273]
[48.75495763 12.3037317 ]
[49.14141241 12.21255756]
[49.3412731 12.1522947]
[49.70751953 12.19729986]
[50.01151926 12.33060566]
[50.22135872 12.63608393]
[50.40272764 12.95616322]
[50.49948536 13.36805963]
[50.58278567 13.77628319]
[50.66022254 13.97989864]
[50.61681463 14.46653745]
[50.50910237 14.96958745]
[50.38351192 15.63994955]
[50.34596593 16.31134792]
[50.42207241 16.95144955]
[50.47482941 17.28560135]
[50.58211281 17.9432612 ]
[50.80183468 18.62231763]
[51.04609115 19.22549248]
[51.38576916 19.86907364]
[51.72336758 20.48960335]
[52.04350533 21.15344898]
[52.17990598 21.53020625]
[52.50010182 22.25934752]
[52.78971982 23.00206393]
[53.02328524 23.77339186]
[53.17465209 24.50159431]
[53.14882195 25.11984486]
[53.12903924 25.43618163]
[53.05372181 26.04270527]
[52.85726918 26.60741202]
[52.63257593 27.17286676]
[52.36777681 27.68439003]
[52.09880517 28.1946082 ]
[51.7542403  28.70506815]
[51.5966693  28.98514125]
[51.24416875 29.56983821]
[50.90775998 30.22584752]
[50.60088944 30.92395701]
[50.29563578 31.67933785]
[50.03340182 32.44747265]
[49.9304981  32.82331002]
[49.90810794 33.52501335]
[49.90662436 34.22216703]
[49.94023208 34.87731504]
[50.04568202 35.55424601]
[50.20619473 36.18898769]
[50.42270693 36.80639576]
[50.5591415  37.11359725]
[50.83047555 37.68475726]
[51.18526872 38.2230439 ]
[51.4996425  38.84728311]
[51.75511311 39.50900401]
[51.94943021 40.21108765]
[52.09807472 40.54526524]
[52.17698626 41.18551662]
[52.19722974 41.75503604]
[52.08845024 42.30503863]
[51.93448497 42.83417126]
[51.76650773 43.36392415]
[51.5394524  43.86169203]
[51.42397791 44.11308829]
[51.1549151  44.54944989]
[50.85699245 44.95962011]
[50.42922889 45.19390195]
[50.02661049 45.41262747]
[49.63866511 45.63116513]
[49.49761324 45.69336571]
[49.44139907 45.53762436]
[49.5080313  45.20181154]
[49.56611938 44.8258658 ]
[49.6379144  44.38481552]
[49.61048524 43.93463466]
[49.62416507 43.43971528]
[49.57820577 43.22864956]
[49.54107786 42.72182837]
[49.3534591  42.12267397]
[49.1639279  41.46617951]
[49.03060785 40.82165874]
[48.96606955 40.1816539 ]
[48.96484541 39.85152454]
[49.0366711  39.20362313]
[49.06344974 38.58854272]
[49.1302157  37.97390685]
[49.31185611 37.34063872]
[49.56827144 36.76454875]
[49.86369369 36.19671121]
[50.02972462 35.90490487]
[50.36589256 35.27850696]
[50.7429961  34.41372167]
[51.18354409 33.47025504]
[51.51172443 32.55950408]
[51.82621911 31.66336775]
[51.99801992 31.22902062]
[52.27517214 30.40777449]
[52.47666672 29.58873634]
[52.60157543 28.82372224]
[52.70603369 28.01839267]
[52.73584193 27.2471998 ]
[52.77093132 26.47155596]
[52.76773978 26.10363203]
[52.78002355 25.28563135]
[52.70320821 24.47667841]
[52.62324089 23.63001232]
[52.55399752 22.82478337]
[52.48928247 21.95148309]
[52.47681899 21.50419177]
[52.42506925 20.66722461]
[52.42780405 19.88994686]
[52.43362917 19.07900884]
[52.43087528 18.24173263]
[52.45196097 17.45839017]
[52.48255921 16.6779404 ]
[52.50894795 16.31807668]
[52.60263833 15.55409051]
[52.7480279  14.62161544]
[52.89312014 13.67394828]
[53.0806488  12.71066299]
[53.26828978 11.74680076]
[53.37045097 11.30837188]
[53.55065615 10.5919779 ]
[53.80405807  9.94800875]
[54.20099879  9.5373769 ]
[54.56152576  9.18567569]
[54.93433886  8.79795937]
[55.09947102  8.59301299]
[55.51865422  8.21172032]
[55.94637873  7.74363625]
[56.44424841  7.2611664 ]
[57.07106958  6.8665542 ]
[57.75641802  6.59642954]
[58.52603299  6.36068002]
[58.90060367  6.33818393]
[59.76993344  6.31061537]
[60.66351532  6.32604687]
[61.5257997   6.46117028]
[62.36671491  6.66372668]
